Jorge Farinha;Gheorghe Cosmin Silaghi;1
Gheorghe Cosmin Silaghi;Luís Silva;4
Luís Silva;Gheorghe Cosmin Silaghi;4
Gheorghe Cosmin Silaghi;Patricio Domingues;4
Patricio Domingues;Gheorghe Cosmin Silaghi;4
Gil Taran;Mário Alberto Zenha Rela;1
Mário Alberto Zenha Rela;Gil Taran;1
Gil Taran;Paulo Marques;1
Paulo Marques;Gil Taran;1
Gil Taran;Pedro Bizarro;1
Pedro Bizarro;Gil Taran;1
Gilles Fedak;Ad Emmen;2
Ad Emmen;Gilles Fedak;2
Gilles Fedak;Attila Marosi;2
Attila Marosi;Gilles Fedak;2
Gilles Fedak;Derrik Kondo;1
Derrik Kondo;Gilles Fedak;1
Gilles Fedak;Etienne Urbah;1
Etienne Urbah;Gilles Fedak;1
Gilles Fedak;Fernando Costa;2
Fernando Costa;Gilles Fedak;2
Gilles Fedak;Filipe Araujo;4
Filipe Araujo;Gilles Fedak;4
Gilles Fedak;Franck Capello;1
Franck Capello;Gilles Fedak;1
Gilles Fedak;Gabriel Caillat;1
Gabriel Caillat;Gilles Fedak;1
Gilles Fedak;Gábor Gombás;2
Gábor Gombás;Gilles Fedak;2
Gilles Fedak;Gábor Terstyánszky;2
Gábor Terstyánszky;Gilles Fedak;2
Gilles Fedak;Haiwu He;1
Haiwu He;Gilles Fedak;1
Gilles Fedak;Ian Kelley;2
Ian Kelley;Gilles Fedak;2
Gilles Fedak;Ian Kelly;2
Ian Kelly;Gilles Fedak;2
Gilles Fedak;Ian Taylor;2
Ian Taylor;Gilles Fedak;2
Gilles Fedak;Luís Silva;3
Luís Silva;Gilles Fedak;3
Gilles Fedak;Miguel Cardenas-Montes;2
Miguel Cardenas-Montes;Gilles Fedak;2
Gilles Fedak;Oleg Lodygensky;3
Oleg Lodygensky;Gilles Fedak;3
Gilles Fedak;Patricio Domingues;1
Patricio Domingues;Gilles Fedak;1
Gilles Fedak;Paul Malecot;1
Paul Malecot;Gilles Fedak;1
Gilles Fedak;Péter Kacsuk;3
Péter Kacsuk;Gilles Fedak;3
Gilles Fedak;Róbert Lovas;2
Róbert Lovas;Gilles Fedak;2
Gilles Fedak;Tamas Kiss;2
Tamas Kiss;Gilles Fedak;2
Gilles Fedak;Zoltán Balaton;3
Zoltán Balaton;Gilles Fedak;3
Gilles Fedak;Zoltán Farkas;3
Zoltán Farkas;Gilles Fedak;3
Gábor Gombás;Ad Emmen;2
Ad Emmen;Gábor Gombás;2
Gábor Gombás;Attila Marosi;3
Attila Marosi;Gábor Gombás;3
Gábor Gombás;David Santiago;1
David Santiago;Gábor Gombás;1
Gábor Gombás;Diogo Ferreira;1
Diogo Ferreira;Gábor Gombás;1
Gábor Gombás;Etienne Urbah;1
Etienne Urbah;Gábor Gombás;1
Gábor Gombás;Filipe Araujo;3
Filipe Araujo;Gábor Gombás;3
Gábor Gombás;Gilles Fedak;2
Gilles Fedak;Gábor Gombás;2
Gábor Gombás;Gábor Terstyánszky;2
Gábor Terstyánszky;Gábor Gombás;2
Gábor Gombás;Ian Kelly;2
Ian Kelly;Gábor Gombás;2
